2024-12-11 20:07:13,865 - INFO - Step 1975-2000: Avg Loss=0.260010, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:16,656 - INFO - Step 2000-2025: Avg Loss=0.020203, Avg Step Time=0.100s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:19,494 - INFO - Step 2025-2050: Avg Loss=0.474365, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:22,293 - INFO - Step 2050-2075: Avg Loss=0.593750, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:25,105 - INFO - Step 2075-2100: Avg Loss=0.221924, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:28,053 - INFO - Step 2100-2125: Avg Loss=0.063782, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:30,993 - INFO - Step 2125-2150: Avg Loss=0.121948, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:33,828 - INFO - Step 2150-2175: Avg Loss=0.017700, Avg Step Time=0.106s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:36,703 - INFO - Step 2175-2200: Avg Loss=0.849121, Avg Step Time=0.102s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:39,525 - INFO - Step 2200-2225: Avg Loss=0.722656, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:42,252 - INFO - Step 2225-2250: Avg Loss=0.557617, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:44,990 - INFO - Step 2250-2275: Avg Loss=0.556641, Avg Step Time=0.100s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:47,830 - INFO - Step 2275-2300: Avg Loss=0.162231, Avg Step Time=0.103s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:50,622 - INFO - Step 2300-2325: Avg Loss=0.283691, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:53,364 - INFO - Step 2325-2350: Avg Loss=0.372803, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:56,078 - INFO - Step 2350-2375: Avg Loss=0.062134, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:07:58,817 - INFO - Step 2375-2400: Avg Loss=0.328369, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:08:01,544 - INFO - Step 2400-2425: Avg Loss=0.074524, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:08:04,293 - INFO - Step 2425-2450: Avg Loss=0.050903, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:08:07,174 - INFO - Step 2450-2475: Avg Loss=0.041504, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:08:09,946 - INFO - Step 2475-2500: Avg Loss=0.032013, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:10:52,463 - INFO - Step 0-25: Avg Loss=0.425293, Avg Step Time=0.289s, Avg Learning Rate=0.000000, Peak Memory Usage=5.83GB
2024-12-11 20:10:55,220 - INFO - Step 25-50: Avg Loss=0.184326, Avg Step Time=0.098s, Avg Learning Rate=0.000750, Peak Memory Usage=5.88GB
2024-12-11 20:10:58,062 - INFO - Step 50-75: Avg Loss=0.672852, Avg Step Time=0.113s, Avg Learning Rate=0.001500, Peak Memory Usage=5.88GB
2024-12-11 20:11:00,801 - INFO - Step 75-100: Avg Loss=0.868164, Avg Step Time=0.097s, Avg Learning Rate=0.002250, Peak Memory Usage=5.88GB
2024-12-11 20:11:03,503 - INFO - Step 100-125: Avg Loss=0.792480, Avg Step Time=0.098s, Avg Learning Rate=0.003000, Peak Memory Usage=5.88GB
2024-12-11 20:11:06,223 - INFO - Step 125-150: Avg Loss=0.844238, Avg Step Time=0.099s, Avg Learning Rate=0.003750, Peak Memory Usage=5.88GB
2024-12-11 20:11:09,103 - INFO - Step 150-175: Avg Loss=0.370850, Avg Step Time=0.098s, Avg Learning Rate=0.004500, Peak Memory Usage=5.88GB
2024-12-11 20:11:11,795 - INFO - Step 175-200: Avg Loss=0.142212, Avg Step Time=0.097s, Avg Learning Rate=0.005250, Peak Memory Usage=5.88GB
2024-12-11 20:11:14,524 - INFO - Step 200-225: Avg Loss=0.020142, Avg Step Time=0.097s, Avg Learning Rate=0.006000, Peak Memory Usage=5.88GB
2024-12-11 20:11:17,262 - INFO - Step 225-250: Avg Loss=0.909180, Avg Step Time=0.104s, Avg Learning Rate=0.006750, Peak Memory Usage=5.88GB
2024-12-11 20:11:19,991 - INFO - Step 250-275: Avg Loss=0.829102, Avg Step Time=0.099s, Avg Learning Rate=0.007500, Peak Memory Usage=5.88GB
2024-12-11 20:11:22,728 - INFO - Step 275-300: Avg Loss=0.010048, Avg Step Time=0.098s, Avg Learning Rate=0.008250, Peak Memory Usage=5.88GB
2024-12-11 20:11:25,443 - INFO - Step 300-325: Avg Loss=0.734863, Avg Step Time=0.098s, Avg Learning Rate=0.009000, Peak Memory Usage=5.88GB
2024-12-11 20:11:28,239 - INFO - Step 325-350: Avg Loss=0.289062, Avg Step Time=0.112s, Avg Learning Rate=0.009750, Peak Memory Usage=5.88GB
2024-12-11 20:11:30,977 - INFO - Step 350-375: Avg Loss=0.651855, Avg Step Time=0.098s, Avg Learning Rate=0.010500, Peak Memory Usage=5.88GB
2024-12-11 20:11:33,685 - INFO - Step 375-400: Avg Loss=0.215820, Avg Step Time=0.097s, Avg Learning Rate=0.011250, Peak Memory Usage=5.88GB
2024-12-11 20:11:36,382 - INFO - Step 400-425: Avg Loss=0.070190, Avg Step Time=0.098s, Avg Learning Rate=0.012000, Peak Memory Usage=5.88GB
2024-12-11 20:11:39,089 - INFO - Step 425-450: Avg Loss=0.858398, Avg Step Time=0.100s, Avg Learning Rate=0.012750, Peak Memory Usage=5.88GB
2024-12-11 20:11:41,811 - INFO - Step 450-475: Avg Loss=0.011703, Avg Step Time=0.102s, Avg Learning Rate=0.013500, Peak Memory Usage=5.88GB
2024-12-11 20:11:44,595 - INFO - Step 475-500: Avg Loss=0.165405, Avg Step Time=0.100s, Avg Learning Rate=0.014250, Peak Memory Usage=5.88GB
2024-12-11 20:11:47,389 - INFO - Step 500-525: Avg Loss=0.891113, Avg Step Time=0.100s, Avg Learning Rate=0.015000, Peak Memory Usage=5.88GB
2024-12-11 20:11:50,193 - INFO - Step 525-550: Avg Loss=0.042389, Avg Step Time=0.100s, Avg Learning Rate=0.015750, Peak Memory Usage=5.88GB
2024-12-11 20:11:53,007 - INFO - Step 550-575: Avg Loss=0.040833, Avg Step Time=0.101s, Avg Learning Rate=0.016500, Peak Memory Usage=5.88GB
2024-12-11 20:11:55,894 - INFO - Step 575-600: Avg Loss=0.937988, Avg Step Time=0.101s, Avg Learning Rate=0.017250, Peak Memory Usage=5.88GB
2024-12-11 20:11:58,701 - INFO - Step 600-625: Avg Loss=0.237671, Avg Step Time=0.100s, Avg Learning Rate=0.018000, Peak Memory Usage=5.88GB
2024-12-11 20:12:01,484 - INFO - Step 625-650: Avg Loss=0.600586, Avg Step Time=0.103s, Avg Learning Rate=0.018750, Peak Memory Usage=5.88GB
2024-12-11 20:12:04,279 - INFO - Step 650-675: Avg Loss=0.517578, Avg Step Time=0.100s, Avg Learning Rate=0.019500, Peak Memory Usage=5.88GB
2024-12-11 20:12:07,208 - INFO - Step 675-700: Avg Loss=0.589844, Avg Step Time=0.105s, Avg Learning Rate=0.020250, Peak Memory Usage=5.88GB
2024-12-11 20:12:10,039 - INFO - Step 700-725: Avg Loss=0.905273, Avg Step Time=0.101s, Avg Learning Rate=0.021000, Peak Memory Usage=5.88GB
2024-12-11 20:12:12,898 - INFO - Step 725-750: Avg Loss=0.051849, Avg Step Time=0.100s, Avg Learning Rate=0.021750, Peak Memory Usage=5.88GB
2024-12-11 20:12:15,715 - INFO - Step 750-775: Avg Loss=0.689941, Avg Step Time=0.100s, Avg Learning Rate=0.022500, Peak Memory Usage=5.88GB
2024-12-11 20:12:18,545 - INFO - Step 775-800: Avg Loss=0.776367, Avg Step Time=0.103s, Avg Learning Rate=0.023250, Peak Memory Usage=5.88GB
2024-12-11 20:12:21,400 - INFO - Step 800-825: Avg Loss=0.098511, Avg Step Time=0.106s, Avg Learning Rate=0.024000, Peak Memory Usage=5.88GB
2024-12-11 20:12:24,229 - INFO - Step 825-850: Avg Loss=0.447021, Avg Step Time=0.100s, Avg Learning Rate=0.024750, Peak Memory Usage=5.88GB
2024-12-11 20:12:26,971 - INFO - Step 850-875: Avg Loss=0.875000, Avg Step Time=0.102s, Avg Learning Rate=0.025500, Peak Memory Usage=5.88GB
2024-12-11 20:12:29,743 - INFO - Step 875-900: Avg Loss=0.013397, Avg Step Time=0.101s, Avg Learning Rate=0.026250, Peak Memory Usage=5.88GB
2024-12-11 20:12:32,561 - INFO - Step 900-925: Avg Loss=0.899414, Avg Step Time=0.103s, Avg Learning Rate=0.027000, Peak Memory Usage=5.88GB
2024-12-11 20:12:35,522 - INFO - Step 925-950: Avg Loss=0.021149, Avg Step Time=0.103s, Avg Learning Rate=0.027750, Peak Memory Usage=5.88GB
2024-12-11 20:12:38,545 - INFO - Step 950-975: Avg Loss=0.475586, Avg Step Time=0.105s, Avg Learning Rate=0.028500, Peak Memory Usage=5.88GB
2024-12-11 20:12:41,691 - INFO - Step 975-1000: Avg Loss=0.090332, Avg Step Time=0.100s, Avg Learning Rate=0.029250, Peak Memory Usage=5.88GB
2024-12-11 20:12:44,463 - INFO - Step 1000-1025: Avg Loss=0.111023, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:12:47,281 - INFO - Step 1025-1050: Avg Loss=0.047607, Avg Step Time=0.104s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:12:50,032 - INFO - Step 1050-1075: Avg Loss=0.448242, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:12:52,730 - INFO - Step 1075-1100: Avg Loss=0.097717, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:12:55,437 - INFO - Step 1100-1125: Avg Loss=0.301514, Avg Step Time=0.097s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:12:58,143 - INFO - Step 1125-1150: Avg Loss=0.101868, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:00,892 - INFO - Step 1150-1175: Avg Loss=0.408691, Avg Step Time=0.100s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:03,669 - INFO - Step 1175-1200: Avg Loss=0.019028, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:06,416 - INFO - Step 1200-1225: Avg Loss=0.224365, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:09,179 - INFO - Step 1225-1250: Avg Loss=0.607422, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:11,985 - INFO - Step 1250-1275: Avg Loss=0.299805, Avg Step Time=0.100s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:14,764 - INFO - Step 1275-1300: Avg Loss=0.015511, Avg Step Time=0.103s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:17,698 - INFO - Step 1300-1325: Avg Loss=0.072021, Avg Step Time=0.112s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:20,766 - INFO - Step 1325-1350: Avg Loss=0.798828, Avg Step Time=0.112s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:23,695 - INFO - Step 1350-1375: Avg Loss=0.472412, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:26,518 - INFO - Step 1375-1400: Avg Loss=0.474854, Avg Step Time=0.098s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:29,311 - INFO - Step 1400-1425: Avg Loss=0.875488, Avg Step Time=0.105s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:32,155 - INFO - Step 1425-1450: Avg Loss=0.013725, Avg Step Time=0.102s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:34,936 - INFO - Step 1450-1475: Avg Loss=0.007782, Avg Step Time=0.099s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:37,708 - INFO - Step 1475-1500: Avg Loss=0.009911, Avg Step Time=0.101s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
2024-12-11 20:13:40,642 - INFO - Step 1500-1525: Avg Loss=0.132568, Avg Step Time=0.102s, Avg Learning Rate=0.030000, Peak Memory Usage=5.88GB
